timestamp,value,metric_name,configmap,instance,job,namespace
2025-07-05 07:42:06,1,kube_configmap_info,alloy-config,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:43:06,1,kube_configmap_info,alloy-config,10.244.2.7:8080,prometheus.scrape.annotated_pods,nimbusguard
2025-07-05 07:18:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:19:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:20:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:21:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:22:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:23:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:24:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:25:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:26:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:27:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:28:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:29:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:30:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:31:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:32:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:33:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:34:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:35:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:36:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:37:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:38:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:39:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:40:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:41:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:42:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:43:06,1,kube_configmap_info,alloy-config,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard
2025-07-05 07:18:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:19:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:20:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:21:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:22:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:23:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:24:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:25:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:26:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:27:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:28:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:29:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:30:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:31:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:32:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:33:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:34:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:35:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:36:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:37:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:38:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:39:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:40:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:41:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:42:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:43:06,1,kube_configmap_info,cluster-info,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-public
2025-07-05 07:18:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:19:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:20:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:21:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:22:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:23:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:24:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:25:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:26:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:27:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:28:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:29:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:30:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:31:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:32:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:33:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:34:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:35:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:36:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:37:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:38:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:39:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:40:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:41:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:42:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:43:06,1,kube_configmap_info,cluster-info,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-public
2025-07-05 07:18:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:19:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:20:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:21:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:22:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:23:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:24:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:25:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:26:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:27:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:28:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:29:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:30:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:31:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:32:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:33:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:34:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:35:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:36:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:37:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:38:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:39:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:40:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:41:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:42:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:43:06,1,kube_configmap_info,coredns,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:18:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:19:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:20:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:21:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:22:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:23:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:24:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:25:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:26:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:27:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:28:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:29:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:30:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:31:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:32:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:33:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:34:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:35:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:36:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:37:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:38:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:39:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:40:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:41:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:42:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:43:06,1,kube_configmap_info,coredns,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:18:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:19:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:20:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:21:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:22:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:23:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:24:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:25:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:26:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:27:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:28:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:29:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:30:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:31:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:32:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:33:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:34:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:35:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:36:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:37:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:38:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:39:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:40:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:41:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:42:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:43:06,1,kube_configmap_info,extension-apiserver-authentication,10.244.2.7:8080,prometheus.scrape.annotated_pods,kube-system
2025-07-05 07:18:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:19:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:20:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:21:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:22:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:23:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:24:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:25:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:26:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:27:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:28:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:29:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:30:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:31:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:32:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:33:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:34:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
2025-07-05 07:35:06,1,kube_configmap_info,extension-apiserver-authentication,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,kube-system
