timestamp,value,metric_name,component_id,component_path,host,instance,job
2025-07-07 10:32:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:33:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:34:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:35:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:36:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:37:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:38:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:39:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:40:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:41:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:42:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:43:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:44:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:45:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:46:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:47:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:48:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:49:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:50:11,3,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:52:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:53:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:54:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:55:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:56:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:57:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:58:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 10:59:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:00:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:01:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:02:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:03:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:04:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:05:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:06:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:07:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:08:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:09:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:10:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:11:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:12:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:13:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
2025-07-07 11:14:11,6,loki_write_batch_retries_total,loki.write.default,/,loki:3100,alloy:8080,alloy-metrics
