timestamp,value,metric_name,device,fstype,instance,job,mountpoint,device_error
2025-07-13 17:27:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:28:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:29:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:30:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:31:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:32:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:33:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:34:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:35:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:36:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:37:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:38:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:39:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:40:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:41:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:42:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:43:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:44:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:45:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:46:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:47:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:48:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:49:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:50:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:51:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:52:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:53:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:54:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:55:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:56:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:57:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:58:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:59:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:00:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:01:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:02:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:03:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:04:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:05:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:06:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:07:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:08:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:09:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:10:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:11:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:12:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:13:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:14:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 18:15:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ae8ae04952e60c74197b9cdcd14d5345e75000bb65adde9062de02d7ec12708/shm,
2025-07-13 17:25:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:26:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:27:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:28:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:29:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:30:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:31:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:32:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:33:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:34:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:35:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:36:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:37:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:38:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:39:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:40:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:41:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:42:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:43:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:44:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:45:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:46:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:47:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:48:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:49:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:50:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:51:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:52:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:53:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:54:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:55:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:56:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:57:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:58:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:59:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:00:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:01:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:02:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:03:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:04:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:05:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:06:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:07:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:08:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:09:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:10:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:11:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:12:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:13:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:14:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 18:15:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/d921e08e35215d94d41ba3de6f38ec91225ea063294a415609a9d437517defdd/shm,
2025-07-13 17:25:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/e41296023d60d8532f24a18abf47e3c4611cea3060a577f129e906ea43b356a4/shm,
2025-07-13 17:26:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/e41296023d60d8532f24a18abf47e3c4611cea3060a577f129e906ea43b356a4/shm,
2025-07-13 17:27:48,0,node_filesystem_readonly,shm,tmpfs,172.18.0.4:9100,prometheus.scrape.annotated_pods,/run/containerd/io.containerd.grpc.v1.cri/sandboxes/e41296023d60d8532f24a18abf47e3c4611cea3060a577f129e906ea43b356a4/shm,
